RatID,Day,MWT_g
Rat07,3,22.335481037736557
Rat08,3,21.50671660803999
Rat09,3,23.3585947997817
Rat10,3,20.969035405454775
Rat11,3,21.00815559040958
Rat12,3,22.716174149449106
Rat13,3,21.84266476080955
Rat14,3,21.528378095412414
Rat07,7,19.56138659025169
Rat08,7,18.353307101433174
Rat09,7,22.453719140285628
Rat10,7,21.244019536483698
Rat11,7,21.428702341518353
Rat12,7,21.725808675258698
Rat13,7,19.60028389243572
Rat14,7,24.775805642903816
Rat07,14,21.548182687027982
Rat08,14,19.891014759992977
Rat10,14,20.865494071975228
Rat13,14,17.61805341421791
Rat14,14,20.305014639366828
