RatID,Day,delta,theta,alpha,lowbeta,highbeta,gamma
Rat07,3,0.23707539782764722,0.31460261629932496,0.25797193266662044,0.35500784532429275,0.3821890035503743,0.18996906172149378
Rat08,3,0.2327677789468788,0.37985599157636735,0.5766425923233023,0.5131059207642363,0.6992182957965164,0.30322088547976556
Rat09,3,0.6464302629159889,0.07305501095193262,0.47663224943078,0.19463980052078528,0.5247208937448955,0.18378492049637954
Rat10,3,0.42602694378184724,0.5202922927535278,0.5681891994680901,0.24996435959242502,0.15558583046809554,0.3634537593049182
Rat11,3,0.42697326562171145,0.6076684475809316,0.4803360701142399,0.42116011506032597,0.29916988571375436,0.4624995267932867
Rat12,3,0.16122903426625787,0.5549568036771686,0.38459102747662205,0.23313484032509962,0.10529992727408755,0.5086183851280447
Rat13,3,0.41977301736635964,0.26304090184229195,0.3704153309213999,0.3259493670299501,0.6087834991744596,0.3647609723599313
Rat14,3,0.38755094926799954,0.37627023393348136,0.339569261603875,0.351535005591335,0.6287265612150389,0.5227795520663167
Rat07,7,0.4723852034208179,0.44785104149454974,0.4223674339063953,0.5176503247444055,0.3760129243021994,0.5576704088733586
Rat08,7,0.5938045007886115,0.5342360919365987,0.12816862031536014,0.21571919390104413,0.6453875810542793,0.5508997390033936
Rat09,7,0.5523102353170919,0.448348567046721,0.3715208345975116,0.3593849962181686,0.4393077427521949,0.2168893067884036
Rat10,7,0.3738551530946271,0.39047168498659496,0.33399078815460126,0.17711409253460772,0.3348276843486665,0.4243959871349836
Rat11,7,0.4168937757759099,0.1939895545332296,0.31913461555970946,0.34134973307556865,0.37161502891681214,0.4616866619405499
Rat12,7,0.48744069613461843,0.28099072714356343,0.5360743040081386,0.49512033706257813,0.2725045106261235,0.5023379524056214
Rat13,7,0.4797112643664585,0.3190181248041636,0.6192148944789415,0.4756291823676943,0.5155418574738715,0.43254590176687013
Rat14,7,0.34325836203982996,0.44398326943402816,0.12092019312281654,0.5257423586237628,0.284850102817,0.5429553558924507
Rat07,14,0.3940045645254339,0.4855989857608888,0.3810790325181131,0.6076905524930866,0.22808491509614845,0.5002888351327838
Rat08,14,0.5476931917387124,0.26093528336034233,0.3900161190348045,0.23145530767395892,0.3354918175212261,0.3483508678934724
Rat10,14,0.4201495857534493,0.482748743744414,0.3943675871449815,0.3820779507178104,0.32805320173221136,0.204327765584047
Rat13,14,0.14540567539094634,0.44249725521156663,0.4833749461340421,0.3404579650087199,0.35520121756388157,0.4745844706962076
Rat14,14,0.3007217387701005,-0.036092860012320926,0.4001392041750979,0.07135120016115243,0.641442446677703,0.5466066502949214
