14:30:55.539	-52	-17	27.5	42	73.5	-80	-30	14	
14:30:55.573	64.5	79	21.5	-31	-37.5	83	32	-64	
14:30:55.607	-1	-51	7.5	95	58.5	-33	-53.5	36	
14:30:55.624	-11.5	-5	24.5	-14	-16	82	21.5	94	
14:30:55.668	57	74	-75	79	-14	-80	-5	-11	
14:30:55.710	26.5	-88	14	-87	61.5	84	-54.5	21	
14:30:55.741	-42	-81	4.5	98	17	74	-0.5	-49	
14:30:55.768	15	8	9.5	65	-16	92	15	-42	
14:30:55.808	49	-26	-6.5	37	59.5	99	2	28	
14:30:55.829	-23.5	-65	40	-63	2.5	-32	6	20	
14:30:55.848	-74	-73	25	-39	-28	11	-52.5	-7	
14:30:55.867	-55.5	94	4.5	-52	7	2	32.5	-72	
14:30:55.898	-39	-83	53.5	59	-7.5	14	-55.5	-14	
14:30:55.923	-12	-35	-12.5	-23	-94	-86	26	-28	
14:30:55.958	32.5	24	49	67	72.5	68	-69	-69	
14:30:55.978	-31.5	-69	58	18	7	-31	-2.5	34	
14:30:56.019	-23	-85	-13.5	-97	5	59	-28	-2	
14:30:56.038	84.5	70	22.5	-57	-24.5	-91	-25.5	76	
14:30:56.058	-6.5	-3	-1	16	11	50	-40	89	
14:30:56.089	-63	72	-9.5	27	-8	-39	8	-13	
14:30:56.118	6.5	-54	45.5	42	-65.5	53	-87.5	79	
14:30:56.128	-47.5	54	-18	19	45	28	-23	67	
14:30:56.158	-24.5	-7	19.5	22	-28	-98	-85	-35	
14:30:56.178	-48.5	-63	-20	-28	-12	-48	-55.5	19	
14:30:56.218	-0.5	-58	-12.5	-63	-86	40	4	-4	
14:30:56.238	52	15	54	35	-11.5	-37	70	-56	
14:30:56.258	-46	7	51	-76	58.5	28	36.5	20	
14:30:56.280	-56	-71	67.5	69	-12.5	-97	-47.5	80	
14:30:56.318	19.5	-63	33	4	-16	-10	2.5	5	
14:30:56.338	49	-76	24.5	39	81.5	67	3	-15	
14:30:56.358	-5	66	-17	-47	70	79	-1	-3	
14:30:56.390	56.5	-78	5	-83	-29	-15	-67	-54	
14:30:56.419	64.5	-1	-20.5	57	42	-93	82	87	
14:30:56.438	39.5	-7	53.5	-66	17.5	-48	49	79	
14:30:56.478	35	21	48	-27	35	74	5.5	17	
14:30:56.498	53	-80	-29.5	3	-3	-30	-22	-73	
14:30:56.528	-12.5	74	64	-24	16.5	64	10.5	-5	
14:30:56.548	-15	79	-40.5	78	-14	38	-67.5	-41	
14:30:56.573	43.5	27	-3.5	13	72.5	87	-78	44	
14:30:56.608	-65.5	-58	76.5	15	4.5	-19	-86	63	
14:30:56.628	-51.5	77	-72.5	-23	-15	-94	-18.5	7	
14:30:56.648	-29.5	-45	-26	30	-69	39	10.5	-15	
14:30:56.688	-51	-25	-21	11	-14.5	-30	-14	40	
14:30:56.707	-17.5	71	-64	30	-51.5	-20	-23.5	-1	
14:30:56.738	9	84	6	48	48	-68	-40	82	
14:30:56.760	-15.5	-17	-37.5	14	18	53	84	69	
14:30:56.777	4.5	4	-5.5	43	92	39	53.5	82	
14:30:56.798	22.5	-51	22.5	-32	24.5	91	-52	-71	
14:30:56.837	27	-55	-17.5	95	-21	-56	7.5	19	
14:30:56.851	17	46	-65.5	92	48	85	63	-48	
14:30:56.878	51.5	-44	15.5	6	-27.5	23	26	18	
14:30:56.907	50.5	28	-32	21	54	53	12.5	-15	
14:30:56.939	-82	-88	-40	99	-1	41	16	33	
14:30:56.958	-15.5	-37	-49.5	-96	-37.5	97	7.5	41	
14:30:56.978	26.5	68	18.5	41	29	94	1	23	
14:30:56.998	-7.24544e-09	-10	6	90	-26	4	39	56	
14:30:57.040	4	51	-3.5	37	12.5	-62	-13	-44	
14:30:57.048	-20.5	10	-8.5	65	-86	60	26.5	-87	
14:30:57.078	-53.5	-43	-3	-82	1.5	-50	15	-89	
14:30:57.108	36	-64	38	-9	86	75	9	53	
14:30:57.137	-58.5	-26	45.5	2	29	87	21.5	9	
14:30:57.158	-0.5	-91	-65	-91	39	-15	57.5	86	
14:30:57.178	-31	-60	-76	-71	-9	4	-47.5	74	
14:30:57.197	63.5	-61	-7.5	-4	-49.5	7	-1	-59	
14:30:57.238	-1.68567e-08	19	39	-15	81.5	98	40.5	-55	
14:30:57.258	73.5	15	1	27	43.5	67	60.5	23	
14:30:57.288	2.5	-46	-19.5	99	-37	65	-17	78	
14:30:57.311	31.5	66	-13	62	-32	72	-14	-46	
14:30:57.328	-44	70	-1.5	-85	-65.5	-42	-7	10	
14:30:57.348	-89.5	3	31.5	99	-7.5	-59	-34	66	
14:30:57.388	40.5	-52	19	-14	54.5	-31	-16.5	43	
14:30:57.398	36.5	98	-54	45	-27.5	-4	-32	24	
14:30:57.428	10.5	-15	-20	-19	85	-81	-16	19	
14:30:57.458	27.5	-44	19	36	-58	10	-13.5	79	
14:30:57.488	-33	-69	-75.5	-11	22	-73	23	-24	
14:30:57.508	-39.5	52	38.5	97	-19.5	-60	-47.5	56	
14:30:57.528	64.5	7	6	23	18.5	23	-25.5	27	
14:30:57.549	61	22	4.5	-84	-14.5	-10	10	86	
14:30:57.588	-56	-68	-5	83	86.5	46	35	-93	
14:30:57.606	75.5	-100	-35	71	-51	-69	-6.5	96	
14:30:57.638	16	-4	9	-80	12	49	-10.5	-31	
14:30:57.668	-35	-5	-79	-78	-84	34	-33.5	68	
14:30:57.697	-15.5	-16	-45	-44	-2	-47	35.5	-36	
14:30:57.718	43	-12	0.5	64	-41	-59	-88.5	40	
14:30:57.738	4.5	-93	26	70	6	41	-14	-43	
14:30:57.760	7.5	-26	6.5	78	39	91	-11.5	73	
14:30:57.798	16.5	-21	-3	14	-23.5	10	18	-62	
14:30:57.818	-36.5	8.3911e-09	19.5	-87	-8	-19	16.5	-34	
14:30:57.848	-8	-19	-2.5	57	6.5	89	25	-44	
14:30:57.870	-6.5	50	-1.80505e-08	23	-17.5	18	57.5	20	
14:30:57.898	46	56	82	-79	31.5	-91	-52.5	-5	
14:30:57.918	31	99	-68	-94	44	13	60	42	
14:30:57.938	-9	-2.80946e-09	28.5	89	-7	-12	-61	-9	
14:30:57.958	-47	58	88	11	28	44	-85.5	-68	
14:30:57.998	53.5	-13	-16.5	98	-33	22	57	7	
14:30:58.018	2	24	-24	19	-79.5	81	4	58	
14:30:58.049	-89.5	-91	-15	2	67.5	-42	-54	76	
14:30:58.068	30.5	2	15	50	-91	-22	-92.5	47	
14:30:58.087	-43.5	-35	67	98	1.5	85	11.5	92	
14:30:58.109	21	-31	-5.5	-23	-1	-77	1	37	
14:30:58.148	-80	31	-60.5	-98	15	-71	-9.5	90	
14:30:58.159	-33	-28	-49.5	10	-66	81	-61	86	
14:30:58.188	19.5	-38	-32	-25	7.5	96	68.5	19	
14:30:58.218	-14	82	-29.5	-59	7.5	-65	16.5	-93	
14:30:58.248	24	-39	64	-6	-8.38509e-09	32	57.5	16	
14:30:58.268	43.5	-37	-21	-78	-28	67	41	-49	
14:30:58.288	-48	77	-27	24	77	57	23.5	8	
14:30:58.310	-43.5	-90	5.85173e-09	-68	56	48	67	26	
14:30:58.349	-16.5	-80	17	-42	-3.5	15	3.5	-91	
14:30:58.358	-87.5	-62	49	50	-8	75	-41.5	72	
14:30:58.388	22	-7	-69.5	13	-15.5	34	43	-91	
14:30:58.417	7	88	23.5	-89	64.5	56	-10	1	
14:30:58.448	1.40184e-08	-100	-5	89	-20	-64	-81.5	-31	
14:30:58.469	-57	36	19	65	-1	-60	-91	-95	
14:30:58.488	-52	65	-87	60	-2	-16	-12.5	31	
14:30:58.508	-69.5	-38	-25	-28	7	-70	-2	-48	
14:30:58.548	22	98	-13.5	-38	80.5	-18	-97	73	
14:30:58.568	-82.5	-59	21	77	26	97	12.5	9	
14:30:58.589	-34.5	-24	-50	68	75	60	-2	-18	
14:30:58.608	22.5	-56	7.5	-39	76	19	68	45	
14:30:58.649	-33.5	29	1	71	-45	53	34	22	
14:30:58.669	-9	55	-16.5	46	62	-11	-28	8	
14:30:58.698	72.5	-47	-66	93	92	-86	-80.5	-24	
14:30:58.707	45	28	-31	-65	12.5	52	10	-24	
14:30:58.737	-45	47	27.5	41	-64	87	72.5	70	
14:30:58.771	-10	29	20.5	-22	16	60	-17.5	35	
14:30:58.797	22	22	-41.5	20	-57.5	76	-3	69	
